% randomly generated dataset
@relation cpu
@attribute MYCT REAL
@attribute MMIN REAL
@attribute MMAX REAL
@attribute CACH REAL
@attribute CHMIN REAL
@attribute CHMAX REAL
@attribute class REAL
@data
26,1000,64000,131,0,1,25
105,2000,8000,64,1,14,23
800,1000,16000,0,1,3,24
180,1000,24000,0,1,4,142
180,768,4000,0,16,4,56
50,2000,2000,0,12,6,22
200,768,32000,112,52,7,341
320,524,32000,48,7,8,24
50,2000,8000,0,1,10,67
72,2000,8000,32,1,28,41
26,8000,5000,0,8,32,20
26,1000,32000,64,12,128,64
26,2000,10480,32,6,16,360
29,768,16000,0,12,24,149
700,1000,2000,32,3,12,81
23,4000,4000,4,?,8,270
38,2000,4000,0,3,13,75
26,1000,16000,1,1,6,64
400,8000,8000,0,6,104,24
250,512,16000,0,52,6,24
200,1000,8000,8,1,3,21
35,4000,4000,0,16,4,199
56,1310,16000,16,8,8,78
56,256,6000,16,1,8,44
23,192,8000,0,16,10,603
320,1000,8000,64,8,4,117
92,8000,16000,64,1,24,266
105,8000,16000,32,8,16,47
143,4000,8000,8,1,3,28
30,2000,64000,64,5,8,107
180,2000,32000,8,1,16,95
115,8000,32000,16,6,5,29
115,96,8000,16,3,3,41
100,8000,8000,24,3,6,46
100,4000,4000,0,1,6,28
60,512,16000,0,1,6,82
180,512,8000,8,1,6,53
75,1000,2000,6,3,32,53
29,2000,4000,0,1,6,15
175,262,1000,8,0,0,65
220,4000,4500,128,6,6,101
64,2000,12000,12,3,0,37
225,1000,4000,142,12,16,26
?,512,8000,24,3,6,31
480,1000,1000,24,1,2,31
105,512,1000,0,1,4,382
400,1000,8000,0,1,1,181
50,768,5000,0,4,20,20
60,512,2000,?,1,48,20
800,8000,1500,4,1,1,34
116,4000,12000,32,1,12,15
900,8000,8000,0,8,24,220
112,1000,?,64,24,24,350
26,16000,32000,64,16,54,361
57,512,24000,64,1,6,182
480,2000,4000,8,1,104,33
140,8000,32000,32,12,2,119
150,2000,32000,32,1,64,32
140,512,16000,32,?,54,57
140,2000,32000,32,1,20,175
140,2000,16000,64,1,32,253
140,4000,8000,0,1,8,53
180,5240,12000,0,6,8,28
300,4000,16000,8,2,112,?
50,2000,2000,8,16,64,47
330,1000,3000,0,2,24,919
50,384,5000,64,1,24,50
140,512,32000,24,1,6,76
300,2000,16000,64,6,6,52
300,768,3000,112,6,24,23
300,2000,10480,0,3,24,20
23,2000,6000,4,1,?,19
75,2000,2000,0,1,38,80
75,2000,8000,0,1,38,36
400,512,64000,0,1,26,20
800,256,8000,0,3,4,18
17,3100,32000,6,1,3,42
110,16000,8000,16,1,2,56
50,2000,2000,2,5,20,41
50,384,8000,32,8,1,34
140,5240,8000,9,1,2,36
225,8000,4000,8,1,12,28
810,512,32000,0,1,32,281
133,1000,8000,0,1,24,18
133,1000,4000,8,3,32,275
50,2000,16000,8,1,52,157
50,2000,6200,8,3,5,46
110,2000,12000,8,12,5,29
56,2000,20970,16,4,64,138
50,8000,2620,0,1,4,102
320,1000,?,0,1,6,23
320,128,2000,0,1,2,28
50,2000,2000,65,1,8,70
1100,4000,3500,8,8,16,24
30,32000,8000,64,32,?,1238
23,2000,8000,6,1,32,21
70,16000,32000,64,16,32,381
29,?,4000,32,8,2,28
59,500,16000,32,8,32,32
125,2000,6000,256,16,128,74
