% randomly generated dataset
@relation labor
@attribute duration REAL
@attribute wage-increase-first-year REAL
@attribute wage-increase-second-year REAL
@attribute wage-increase-third-year REAL
@attribute cost-of-living-adjustment {none,tcf,tc}
@attribute working-hours REAL
@attribute pension {none,ret_allw,empl_contr}
@attribute standby-pay REAL
@attribute shift-differential REAL
@attribute education-allowance {yes,no}
@attribute statutory-holidays REAL
@attribute vacation {below_average,average,generous}
@attribute longterm-disability-assistance {yes,no}
@attribute contribution-to-dental-plan {none,half,full}
@attribute bereavement-assistance {yes,no}
@attribute contribution-to-health-plan {none,half,full}
@attribute class {bad,good}
@data
2,2,4,?,?,40,?,?,3,no,11,generous,?,full,?,half,good
1,3.7,4,?,?,35,none,?,6,?,9,below_average,no,none,?,half,good
2,2,?,2.1,tc,40,ret_allw,?,5,yes,11,below_average,no,?,no,?,good
3,5.7,?,2.1,?,38,?,?,1,?,12,generous,?,?,?,full,good
3,2,2,5,none,40,?,?,5,?,13,?,yes,half,yes,half,good
1,?,4,?,?,35,none,?,?,?,?,below_average,yes,full,yes,full,bad
3,4.5,4.6,4.6,tc,37,ret_allw,?,?,?,10,below_average,yes,half,?,?,good
1,4.5,7,4.5,tcf,35,?,?,3,?,11,average,no,half,?,none,good
1,2.5,2.5,?,none,38,empl_contr,?,6,no,11,average,yes,full,yes,?,good
1,5.7,2,?,?,40,none,2,?,no,15,average,yes,none,yes,?,bad
1,3.5,2.5,?,?,?,ret_allw,?,?,?,12,below_average,?,half,?,?,bad
1,5.7,?,?,none,37,empl_contr,?,0,?,11,?,?,half,?,?,bad
2,3.5,4,?,none,38,?,?,?,?,11,below_average,yes,full,yes,?,bad
2,2.8,2.5,5.1,none,35,ret_allw,?,?,?,10,?,?,?,?,none,bad
3,4,?,?,?,36,?,12,5,no,11,average,?,half,?,full,good
2,?,4.4,?,tcf,35,?,?,3,?,9,average,?,?,no,?,good
2,5,?,?,none,38,ret_allw,?,14,?,11,average,yes,?,?,?,good
1,2,5,?,tcf,35,?,?,?,?,9,?,yes,full,yes,full,good
2,5,4,?,tcf,37,empl_contr,?,6,?,12,below_average,?,half,yes,half,good
2,4.5,5,?,tc,38,none,?,3,no,12,average,no,half,?,?,bad
3,6,?,?,none,33,?,?,14,no,11,average,?,full,?,full,bad
3,2.1,5,?,none,40,empl_contr,?,4,?,11,?,?,?,yes,?,good
1,3.5,4,?,?,38,none,2,2,yes,10,?,yes,?,yes,?,bad
2,3,6,?,tcf,?,?,?,?,no,12,generous,?,?,?,full,bad
3,2.5,4,?,none,40,?,?,?,?,10,below_average,?,full,?,none,good
3,4,4.5,?,tc,40,?,?,2,?,9,average,yes,half,?,full,good
1,5,3,2.5,?,38,?,10,?,yes,11,?,yes,none,?,full,good
