% randomly generated dataset
@relation contact-lenses
@attribute age {young,pre-presbyopic,presbyopic}
@attribute spectacle-prescrip {myope,hypermetrope}
@attribute astigmatism {no,yes}
@attribute tear-prod-rate {reduced,normal}
@attribute contact-lenses {soft,hard,none}
@data
pre-presbyopic,myope,no,normal,soft
pre-presbyopic,?,yes,reduced,soft
pre-presbyopic,myope,no,reduced,soft
presbyopic,myope,no,normal,soft
pre-presbyopic,hypermetrope,yes,normal,none
young,hypermetrope,yes,reduced,none
pre-presbyopic,myope,no,reduced,soft
young,myope,yes,reduced,none
young,myope,yes,reduced,hard
pre-presbyopic,hypermetrope,no,reduced,?
presbyopic,myope,yes,reduced,hard
young,hypermetrope,no,reduced,none
young,hypermetrope,no,normal,soft
presbyopic,?,yes,reduced,none
presbyopic,myope,yes,normal,soft
pre-presbyopic,myope,no,normal,soft
pre-presbyopic,hypermetrope,yes,normal,hard
pre-presbyopic,hypermetrope,no,normal,none
young,hypermetrope,no,reduced,none
presbyopic,hypermetrope,yes,reduced,none
pre-presbyopic,hypermetrope,no,reduced,soft
pre-presbyopic,myope,no,reduced,soft
young,hypermetrope,no,normal,none
young,hypermetrope,yes,normal,none
pre-presbyopic,myope,yes,reduced,none
pre-presbyopic,myope,no,reduced,hard
?,myope,no,reduced,none
young,hypermetrope,yes,normal,hard
pre-presbyopic,hypermetrope,no,normal,none
young,hypermetrope,yes,normal,none
young,hypermetrope,no,reduced,none
presbyopic,myope,no,reduced,none
pre-presbyopic,hypermetrope,no,reduced,soft
pre-presbyopic,myope,no,normal,none
young,myope,yes,normal,soft
presbyopic,myope,yes,normal,soft
pre-presbyopic,hypermetrope,yes,normal,hard
presbyopic,myope,yes,normal,hard
presbyopic,hypermetrope,yes,normal,none
pre-presbyopic,hypermetrope,no,reduced,none
pre-presbyopic,hypermetrope,yes,reduced,none
presbyopic,hypermetrope,yes,reduced,none
presbyopic,hypermetrope,yes,reduced,soft
presbyopic,hypermetrope,no,reduced,none
pre-presbyopic,hypermetrope,no,reduced,none
young,?,no,normal,hard
presbyopic,hypermetrope,no,reduced,none
presbyopic,hypermetrope,no,reduced,hard
pre-presbyopic,hypermetrope,no,normal,hard
?,hypermetrope,no,reduced,hard
presbyopic,myope,no,normal,none
presbyopic,hypermetrope,no,normal,none
pre-presbyopic,hypermetrope,no,reduced,none
presbyopic,hypermetrope,yes,reduced,none
pre-presbyopic,hypermetrope,yes,reduced,soft
pre-presbyopic,myope,no,normal,hard
pre-presbyopic,myope,no,normal,none
presbyopic,hypermetrope,no,normal,none
young,myope,no,reduced,soft
presbyopic,hypermetrope,yes,reduced,soft
presbyopic,hypermetrope,yes,normal,hard
young,myope,yes,reduced,soft
presbyopic,hypermetrope,yes,reduced,hard
pre-presbyopic,hypermetrope,?,reduced,soft
pre-presbyopic,hypermetrope,no,reduced,hard
presbyopic,myope,yes,reduced,none
young,myope,no,reduced,none
young,myope,no,normal,soft
pre-presbyopic,myope,no,reduced,none
young,myope,no,normal,none
young,myope,yes,reduced,none
pre-presbyopic,hypermetrope,yes,normal,none
pre-presbyopic,myope,no,reduced,soft
young,hypermetrope,no,normal,hard
pre-presbyopic,myope,no,reduced,none
young,hypermetrope,no,normal,none
young,myope,yes,normal,none
?,myope,no,reduced,none
pre-presbyopic,myope,no,reduced,none
presbyopic,myope,no,reduced,none
pre-presbyopic,myope,no,reduced,hard
presbyopic,myope,?,reduced,soft
young,myope,yes,normal,none
presbyopic,myope,yes,reduced,soft
young,hypermetrope,no,reduced,none
young,hypermetrope,yes,normal,none
pre-presbyopic,myope,yes,reduced,none
presbyopic,myope,yes,reduced,none
presbyopic,myope,yes,normal,soft
young,hypermetrope,yes,normal,soft
?,myope,yes,normal,soft
