% randomly generated dataset
@relation segment
@attribute region-centroid-col NUMERIC
@attribute region-centroid-row NUMERIC
@attribute region-pixel-count NUMERIC
@attribute short-line-density-5 NUMERIC
@attribute short-line-density-2 NUMERIC
@attribute vedge-mean NUMERIC
@attribute vegde-sd NUMERIC
@attribute hedge-mean NUMERIC
@attribute hedge-sd NUMERIC
@attribute intensity-mean NUMERIC
@attribute rawred-mean NUMERIC
@attribute rawblue-mean NUMERIC
@attribute rawgreen-mean NUMERIC
@attribute exred-mean NUMERIC
@attribute exblue-mean NUMERIC
@attribute exgreen-mean NUMERIC
@attribute value-mean NUMERIC
@attribute saturation-mean NUMERIC
@attribute hue-mean NUMERIC
@attribute class {brickface,sky,foliage,cement,window,path,grass}
@data
242,65,?,0,0,0.555555,0.272166,1,0.421637,8.92593,16.1111,149.889,6.33333,-4,-3.33333,-7.77778,14.3333,0.583461,-2.12188,cement
207,215,9,0,0,3.22222,2.04033,2.5,1.61589,23.8148,16.7778,22.6667,121.444,-17.1111,-3.44444,-21.2222,30.6667,0.409837,2.47176,grass
163,19,9,0,0,1.77778,1.18519,9.16667,0.403687,30.3704,27.4444,36.3333,27.3333,-8.77778,-5.22222,-9.11111,36.3333,0.23849,-2.21709,cement
133,125,9,0,0,1,2.82963,1.94444,1.31852,66.2593,61.1111,79.1111,58.5556,-15.4444,38.5556,-23.1111,79.1111,0.259842,-2.05845,cement
85,101,9,0,0,1.33333,1.58519,1.27778,1.21852,21.2963,11.8889,26.7778,15.8889,-0.222222,16.4444,-16.2222,69.2222,0.298958,-1.5586,brickface
124,191,9,0,0,3.5,0.172133,3.27778,2.80013,?,52.8889,74.7778,51.5556,-20.5556,45.1111,-24.5556,58.8889,0.313611,-2.03548,path
210,153,9,0,0,0,0,0,2.56472,0,0,0,0,0,0,0,0,0,0,path
116,203,9,0,0,3.05556,1.94841,2.94444,1.75647,19.5185,13.2222,17.6667,25.4444,-12.2222,-5.55556,17.7778,25.4444,0.393868,2.32038,grass
155,91,9,0,0,0.999999,0.177779,1.44445,0.696294,96.3333,44.8889,119.333,30.5556,-21.7778,69,-27.3333,119.333,0.309059,-2.22871,cement
97,90,9,0,0,1.88889,2.56296,3.61111,8.50741,49.7037,15.6667,6.44444,15.7778,-13.4444,26.5556,-13.1111,29,0.465278,-2.10152,window
88,154,9,0.111111,0,1.44444,0.785185,3.22222,5.67778,22.3333,21.7778,28.5556,16.6667,-1.66667,18.6667,-17,28.5556,0.416299,-1.63686,brickface
96,123,9,0,0,1.27778,0.151852,1.83333,2.07778,21.6296,14.7778,34.2222,15.8889,-20.5556,57.3333,-22.4444,34.2222,0.559546,-2.14976,cement
95,109,9,0,0,1,0.488889,0.777778,2.72963,17.2593,19.2222,20,12.5556,-1.66667,8.22222,-14.1111,20.4444,0.384997,-1.1312,brickface
250,138,9,0,0,0.722222,2.07275,0.944444,0.712326,1.14815,0.111111,2.77778,0.555556,-3.11111,4.88889,-1.77778,2.77778,0.977778,-2.21924,foliage
17,192,9,0,0,1.44444,1.36296,1.66667,1.42222,18.8889,17.5556,25.1111,14,-4,18.6667,-15.5556,25.1111,0.441092,-1.75551,brickface
128,175,9,0,0,2.16667,4.21111,2.72222,4.32963,108.889,20.7778,21.7778,28.6667,-8.66667,-6,14.6667,28.6667,0.284954,2.26354,grass
227,132,?,0,0,6.66667,28.9074,1.33333,1.01105,38.7778,33.2222,49.2222,33.8889,-16.6667,31.3333,-14.6667,49.2222,0.325768,-2.12952,cement
48,83,9,0,0,2.27778,4.01852,2.33333,1.68889,6.25926,2.22222,0,29.4444,-12.1111,16.8889,-4.77778,11.8889,0.82735,-2.345,foliage
183,182,9,0,0,3.11111,3.20878,7,5.64899,39.8519,37.2222,47.3333,35,-7.88889,22.4444,-6.11111,47.3333,0.24779,-1.86828,path
124,53,9,0,0,0.888889,0.518518,1.16667,0.433333,21.5556,20.8889,27.4444,16.3333,-2,17.6667,-15.6667,27.4444,0.404138,-1.66218,brickface
20,189,9,0,0,0.944443,1.75185,2.66667,3.82223,34.1111,30.1111,42.7778,29.4444,-12,26,-14,42.7778,0.309884,-0.871495,foliage
216,109,9,0,0,0.666665,0.166667,1.55556,0.421638,126.148,15.1111,141.889,121.556,-33.4444,47.2222,-13.7778,141.889,0.189464,-2.34842,sky
25,41,9,0,0,1,0.577774,0.444445,0.655553,113.407,103.889,131.222,105.111,-28.5556,53.4444,-24.8889,131.222,0.208293,-2.13982,sky
29,61,9,0,0,0.555555,0.403687,0.5,2.08889,7.07407,4.66667,12.2222,4.33333,-7.22222,15.4444,-8.22222,12.2222,0.645891,-2.04872,window
214,194,9,0,0,1.22222,1.0256,3.22222,1.69531,45.0741,5.11111,55.4444,39.5556,-14.5556,31.1111,-16.5556,55.4444,0.291972,-2.047,path
50,50,9,0,0,0.777777,0.655462,0.77778,0.50185,124.111,113.111,140.889,118.333,-33,50.3333,-1.77778,140.889,0.197162,-2.28828,sky
