% randomly generated dataset
@relation soybean
@attribute date {april,may,june,july,august,september,october}
@attribute plant-stand {normal,lt-normal}
@attribute precip {lt-norm,norm,gt-norm}
@attribute temp {lt-norm,norm,gt-norm}
@attribute hail {yes,no}
@attribute crop-hist {diff-lst-year,same-lst-yr,same-lst-two-yrs,same-lst-sev-yrs}
@attribute area-damaged {scattered,low-areas,upper-areas,whole-field}
@attribute severity {minor,pot-severe,severe}
@attribute seed-tmt {none,fungicide,other}
@attribute germination {90-100,80-89,lt-80}
@attribute plant-growth {norm,abnorm}
@attribute leaves {norm,abnorm}
@attribute leafspots-halo {absent,yellow-halos,no-yellow-halos}
@attribute leafspots-marg {w-s-marg,no-w-s-marg,dna}
@attribute leafspot-size {lt-1/8,gt-1/8,dna}
@attribute leaf-shread {absent,present}
@attribute leaf-malf {absent,present}
@attribute leaf-mild {absent,upper-surf,lower-surf}
@attribute stem {norm,abnorm}
@attribute lodging {yes,no}
@attribute stem-cankers {absent,below-soil,above-soil,above-sec-nde}
@attribute canker-lesion {dna,brown,dk-brown-blk,tan}
@attribute fruiting-bodies {absent,present}
@attribute external-decay {absent,firm-and-dry,watery}
@attribute mycelium {absent,present}
@attribute int-discolor {none,brown,black}
@attribute sclerotia {absent,present}
@attribute fruit-pods {norm,diseased,few-present,dna}
@attribute fruit-spots {absent,colored,brown-w/blk-specks,distort,dna}
@attribute seed {norm,abnorm}
@attribute mold-growth {absent,present}
@attribute seed-discolor {absent,present}
@attribute seed-size {norm,lt-norm}
@attribute shriveling {absent,present}
@attribute roots {norm,rotted,galls-cysts}
@attribute class {diaporthe-stem-canker,charcoal-rot,rhizoctonia-root-rot,phytophthora-rot,brown-stem-rot,powdery-mildew,downy-mildew,brown-spot,bacterial-blight,bacterial-pustule,purple-seed-stain,anthracnose,phyllosticta-leaf-spot,alternarialeaf-spot,frog-eye-leaf-spot,diaporthe-pod-&-stem-blight,cyst-nematode,2-4-d-injury,herbicide-injury}
@data
july,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,low-areas,?,none,80-89,norm,abnorm,absent,dna,gt-1/8,absent,absent,absent,abnorm,yes,below-soil,dna,absent,absent,absent,none,absent,norm,colored,abnorm,absent,absent,?,absent,norm,purple-seed-stain
august,lt-normal,?,norm,no,same-lst-sev-yrs,scattered,?,none,lt-80,abnorm,abnorm,no-yellow-halos,?,?,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,black,absent,norm,absent,abnorm,present,absent,norm,absent,norm,phytophthora-rot
august,lt-normal,gt-norm,?,no,same-lst-two-yrs,scattered,pot-severe,none,90-100,abnorm,abnorm,no-yellow-halos,w-s-marg,dna,?,absent,absent,norm,yes,above-soil,dna,absent,absent,absent,none,absent,norm,absent,norm,?,absent,?,absent,norm,brown-spot
october,normal,gt-norm,norm,no,same-lst-sev-yrs,low-areas,pot-severe,none,80-89,norm,abnorm,absent,no-w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,diseased,brown-w/blk-specks,norm,absent,absent,norm,absent,norm,herbicide-injury
october,normal,gt-norm,norm,?,same-lst-yr,low-areas,pot-severe,fungicide,lt-80,norm,norm,no-yellow-halos,w-s-marg,dna,present,absent,absent,norm,yes,absent,?,absent,absent,absent,none,absent,few-present,absent,abnorm,absent,absent,norm,present,norm,downy-mildew
june,lt-normal,gt-norm,norm,no,same-lst-sev-yrs,scattered,minor,none,90-100,abnorm,abnorm,absent,dna,?,absent,?,absent,norm,?,absent,dna,absent,watery,absent,none,present,diseased,?,abnorm,absent,absent,?,absent,norm,frog-eye-leaf-spot
september,normal,gt-norm,gt-norm,yes,same-lst-two-yrs,upper-areas,pot-severe,fungicide,80-89,norm,abnorm,absent,w-s-marg,gt-1/8,absent,absent,?,norm,yes,absent,dk-brown-blk,absent,firm-and-dry,absent,none,absent,norm,?,norm,absent,present,lt-norm,?,norm,bacterial-blight
september,normal,gt-norm,gt-norm,no,same-lst-two-yrs,whole-field,pot-severe,?,80-89,norm,abnorm,absent,dna,gt-1/8,absent,absent,absent,abnorm,yes,absent,dk-brown-blk,absent,absent,absent,none,?,diseased,absent,?,absent,present,norm,absent,norm,phytophthora-rot
may,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,minor,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,?,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,present,norm,absent,norm,diaporthe-stem-canker
october,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,scattered,pot-severe,fungicide,lt-80,abnorm,abnorm,no-yellow-halos,dna,?,present,present,absent,abnorm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,?,absent,galls-cysts,anthracnose
