% randomly generated dataset
@relation labor
@attribute duration REAL
@attribute wage-increase-first-year REAL
@attribute wage-increase-second-year REAL
@attribute wage-increase-third-year REAL
@attribute cost-of-living-adjustment {none,tcf,tc}
@attribute working-hours REAL
@attribute pension {none,ret_allw,empl_contr}
@attribute standby-pay REAL
@attribute shift-differential REAL
@attribute education-allowance {yes,no}
@attribute statutory-holidays REAL
@attribute vacation {below_average,average,generous}
@attribute longterm-disability-assistance {yes,no}
@attribute contribution-to-dental-plan {none,half,full}
@attribute bereavement-assistance {yes,no}
@attribute contribution-to-health-plan {none,half,full}
@attribute class {bad,good}
@data
2,2,4,4.5,tcf,40,none,10,3,no,11,generous,yes,full,yes,half,good
1,3.7,4,2,none,35,none,12,6,yes,9,below_average,no,none,yes,half,good
2,2,4,2.1,tc,40,ret_allw,4,5,yes,11,below_average,no,none,no,full,good
3,5.7,4.5,2.1,tc,38,ret_allw,4,1,yes,12,generous,no,half,yes,full,good
3,2,2,5,none,40,none,8,5,no,13,below_average,yes,half,yes,half,good
1,2.5,4,5,tcf,35,none,10,4,no,10,below_average,yes,full,yes,full,bad
3,4.5,4.6,4.6,tc,37,ret_allw,14,3,yes,10,below_average,yes,half,yes,none,good
1,4.5,7,4.5,tcf,35,ret_allw,14,3,no,11,average,no,half,yes,none,good
1,2.5,2.5,2.1,none,38,empl_contr,12,6,no,11,average,yes,full,yes,full,good
1,5.7,2,2.1,tc,40,none,2,3,no,15,average,yes,none,yes,full,bad
1,3.5,2.5,5,none,40,ret_allw,8,4,yes,12,below_average,yes,half,yes,full,bad
1,5.7,3,4.5,none,37,empl_contr,13,0,no,11,below_average,yes,half,no,full,bad
2,3.5,4,5,none,38,empl_contr,2,2,no,11,below_average,yes,full,yes,half,bad
2,2.8,2.5,5.1,none,35,ret_allw,2,5,no,10,average,yes,none,yes,none,bad
3,4,4,5,none,36,ret_allw,12,5,no,11,average,yes,half,yes,full,good
2,2,4.4,4.5,tcf,35,empl_contr,10,3,no,9,average,yes,half,no,full,good
2,5,6.4,2.5,none,38,ret_allw,4,14,yes,11,average,yes,none,yes,full,good
1,2,5,5,tcf,35,none,2,5,no,9,generous,yes,full,yes,full,good
2,5,4,2,tcf,37,empl_contr,2,6,yes,12,below_average,no,half,yes,half,good
2,4.5,5,2.3,tc,38,none,12,3,no,12,average,no,half,yes,half,bad
3,6,4,5,none,33,empl_contr,2,14,no,11,average,yes,full,yes,full,bad
3,2.1,5,5,none,40,empl_contr,4,4,yes,11,generous,no,full,yes,half,good
1,3.5,4,4.6,tc,38,none,2,2,yes,10,below_average,yes,full,yes,none,bad
2,3,6,2.5,tcf,40,empl_contr,2,2,no,12,generous,yes,full,no,full,bad
3,2.5,4,2,none,40,empl_contr,12,4,yes,10,below_average,yes,full,yes,none,good
3,4,4.5,5,tc,40,empl_contr,13,2,no,9,average,yes,half,yes,full,good
1,5,3,2.5,none,38,none,10,2,yes,11,generous,yes,none,yes,full,good
1,3.7,4.5,5,none,40,empl_contr,2,3,yes,10,below_average,yes,full,yes,none,good
1,4,2,5,none,40,empl_contr,8,14,no,15,generous,yes,full,no,full,good
3,5,2.5,5,tc,40,ret_allw,14,5,yes,15,generous,yes,half,no,half,good
2,4,5.8,4.5,tc,35,empl_contr,14,3,yes,11,generous,yes,half,no,full,good
3,4.5,4,4,tc,40,ret_allw,8,10,no,11,generous,no,none,yes,half,bad
3,5,2.5,5.1,none,38,empl_contr,8,4,no,12,below_average,yes,half,yes,full,bad
3,6.9,4,2,tcf,40,none,2,5,no,10,average,no,none,yes,half,bad
3,2.5,4.4,5.1,none,40,empl_contr,8,2,no,10,generous,no,full,yes,half,good
1,2,4,5,tcf,38,ret_allw,4,2,yes,13,average,no,full,yes,none,bad
2,2,5,5,none,39,ret_allw,10,4,no,12,generous,no,none,yes,half,bad
2,6.4,2,2,tcf,38,empl_contr,2,3,yes,10,average,no,full,yes,full,good
2,4,2.5,2.5,tcf,40,none,10,5,yes,15,generous,no,half,yes,full,bad
2,4,4,4,tc,36,empl_contr,2,3,no,15,generous,no,half,yes,half,good
2,5,5.3,2.5,none,38,none,14,3,yes,10,below_average,yes,half,yes,full,good
2,4.5,2.5,2,tcf,40,empl_contr,13,2,no,10,below_average,no,half,yes,none,good
1,3.5,5.8,5,tc,40,empl_contr,14,5,yes,11,generous,yes,half,yes,none,good
1,4,6,5,tc,38,empl_contr,2,6,yes,12,generous,yes,none,yes,none,good
3,6.4,5.3,4.6,none,38,none,13,10,no,10,below_average,no,full,yes,half,good
3,6.9,5,4.6,tcf,37,none,4,0,yes,10,generous,no,half,yes,full,good
3,4.5,4,4.5,none,36,ret_allw,2,10,no,11,average,no,none,yes,none,good
