% randomly generated dataset
@relation cpu
@attribute MYCT REAL
@attribute MMIN REAL
@attribute MMAX REAL
@attribute CACH REAL
@attribute CHMIN REAL
@attribute CHMAX REAL
@attribute class REAL
@data
30,512,6000,8,4,3,20
300,4000,8000,16,4,5,175
38,512,12000,8,1,64,23
320,2000,16000,8,1,?,37
50,2000,32000,65,1,8,220
160,96,16000,64,1,0,24
50,1310,32000,128,16,3,41
75,1000,16000,16,6,48,30
225,8000,10480,8,3,24,40
900,1000,4000,8,1,6,171
200,524,8000,0,8,14,275
180,2000,6000,64,32,8,19
84,8000,16000,131,6,32,33
26,1000,3500,256,1,24,253
150,8000,8000,0,1,0,54
56,8000,32000,64,8,19,53
180,2000,2000,8,1,6,88
25,4000,16000,16,3,24,37
225,768,512,8,1,54,47
180,4000,16000,32,5,4,20
115,512,12000,4,1,6,29
40,512,4000,0,1,38,81
200,768,5000,64,6,0,116
320,1000,6200,0,52,3,32
26,2000,8000,8,12,6,47
38,512,6000,8,3,4,34
160,8000,2000,8,2,5,266
320,256,12000,8,1,8,119
72,2000,8000,0,16,24,267
800,128,12000,0,6,38,30
115,4000,8000,0,3,6,24
50,512,8000,0,1,5,181
140,512,3000,30,24,6,47
50,2000,8000,16,3,0,21
50,1000,12000,64,6,38,28
1100,4000,16000,8,1,2,27
300,262,16000,4,1,2,37
50,262,16000,64,16,20,41
59,1000,4000,112,4,6,117
300,2000,1000,4,12,6,44
1100,2000,8000,64,1,5,44
38,2000,4000,32,16,32,28
250,2000,8000,32,6,1,35
50,256,16000,0,1,2,44
143,2000,4000,8,8,24,53
300,256,3000,32,8,5,275
25,1000,16000,?,7,48,34
50,8000,2000,0,1,5,54
140,8000,64,32,1,20,350
800,768,24000,48,6,3,24
105,512,512,16,1,32,76
50,4000,?,0,1,6,53
25,8000,4000,65,3,24,25
50,1000,8000,2,1,6,26
25,1000,32000,8,7,24,34
900,1000,2000,0,3,8,45
50,8000,4000,0,4,6,119
17,262,2000,0,1,24,30
320,2000,16000,64,1,0,29
133,8000,3000,0,0,3,20
84,1000,768,64,16,54,57
140,2300,16000,0,16,2,20
50,32000,8000,24,5,24,72
