% randomly generated dataset
@relation segment
@attribute region-centroid-col NUMERIC
@attribute region-centroid-row NUMERIC
@attribute region-pixel-count NUMERIC
@attribute short-line-density-5 NUMERIC
@attribute short-line-density-2 NUMERIC
@attribute vedge-mean NUMERIC
@attribute vegde-sd NUMERIC
@attribute hedge-mean NUMERIC
@attribute hedge-sd NUMERIC
@attribute intensity-mean NUMERIC
@attribute rawred-mean NUMERIC
@attribute rawblue-mean NUMERIC
@attribute rawgreen-mean NUMERIC
@attribute exred-mean NUMERIC
@attribute exblue-mean NUMERIC
@attribute exgreen-mean NUMERIC
@attribute value-mean NUMERIC
@attribute saturation-mean NUMERIC
@attribute hue-mean NUMERIC
@attribute class {brickface,sky,foliage,cement,window,path,grass}
@data
163,19,9,0,0,1.77778,1.18519,9.16667,0.403687,30.3704,27.4444,36.3333,27.3333,-8.77778,-5.22222,-9.11111,36.3333,0.23849,-2.21709,cement
37,25,9,0,0,1.33333,0.730297,0.388889,0.760117,126.037,114.333,142.222,121.556,-35.1111,48.5556,-13.4444,142.222,0.196093,-2.36518,grass
202,21,9,0,0,0.333333,0.365148,1.5,2.61336,40.7407,37.1111,49.3333,35.7778,-10.8889,25.7778,-14.8889,49.3333,0.274519,2.2594,cement
124,53,9,0,0,0.888889,0.518518,1.16667,0.433333,21.5556,20.8889,27.4444,16.3333,-2,17.6667,-15.6667,27.4444,0.404138,-1.66218,brickface
187,163,9,0,0,1.11111,0.429631,18.7778,1.85182,40.7037,35.2222,48.8889,0,-16.4444,24.5556,-8.11111,48.8889,0.270056,-2.38845,path
94,13,9,0,0,1.05556,0.507406,2,1.24444,141.593,134.889,61.7778,140,-20.1111,24.8889,-4.77778,149.889,0.100091,-2.44927,sky
161,89,9,0,0,4.66667,5.11642,0.166667,2.05931,3.11111,2.88889,3.77778,2.66667,0,55.8889,-1.33333,3.77778,0.097643,-1.89048,foliage
100,111,9,0,0,3.72222,0.459472,4.11111,19.4963,4.88889,2.22222,9.11111,3.33333,-8,12.6667,-4.66667,9.11111,0.864664,-2.21647,foliage
161,144,9,0,0,0,1.32777,0,0.344265,?,0,0,0,0,0,-15.2222,0,0,0,grass
244,130,9,0,0,1.66667,1.33333,2,2.31111,13.6296,10.7778,12.8889,17.2222,-14.3333,-2.22222,10.7778,17.2222,0.315228,-2.0944,foliage
122,123,9,0,0,0.611111,0.374074,0.5,0.211111,1.18519,0,3.33333,0.222222,-28.7778,6.44444,-3,3.33333,?,-2.14267,foliage
149,223,9,0,0,1.22222,0.562964,2.33333,3.82222,23.6667,28.3333,30.3333,17.5556,-1.66667,20,-18.3333,30.3333,0.420973,-1.63778,brickface
